"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1,"2019-02-26 10:25:02 GMT+0300","30865439761","PUT","8318.808","8317.167",0.35,0.66,"0.31"
2,"2019-02-26 10:45:04 GMT+0300","30865812961","CALL","8317.260","8310.399",0.35,"0.00","-0.35"
3,"2019-02-26 10:55:00 GMT+0300","30865988741","PUT","8312.895","8316.614",0.63,"0.00","-0.63"
4,"2019-02-26 11:10:00 GMT+0300","30866267221","PUT","8311.636","8313.172",1.13,"0.00","-1.13"
5,"2019-02-26 11:35:02 GMT+0300","30866729641","PUT","8313.570","8310.348",2.04,3.96,"1.92"
6,"2019-02-26 12:05:02 GMT+0300","30867328061","CALL","8307.203","8307.143",0.35,"0.00","-0.35"
7,"2019-02-26 12:10:08 GMT+0300","30867441981","CALL","8308.327","8311.937",0.63,1.22,"0.59"
8,"2019-02-26 12:15:14 GMT+0300","30867555641","CALL","8312.749","8311.485",0.35,"0.00","-0.35"
9,"2019-02-26 12:20:20 GMT+0300","30867667381","CALL","8311.068","8311.485",0.63,1.22,"0.59"
10,"2019-02-26 12:25:28 GMT+0300","30867776161","PUT","8311.465","8310.460",0.35,0.66,"0.31"
11,"2019-02-26 12:30:34 GMT+0300","30867881601","CALL","8310.217","8309.609",0.35,"0.00","-0.35"
12,"2019-02-26 12:50:02 GMT+0300","30868257461","PUT","8306.251","8307.982",0.63,"0.00","-0.63"
13,"2019-02-26 13:05:00 GMT+0300","30868535981","PUT","8305.436","8304.455",1.13,2.19,"1.06"
14,"2019-02-26 13:15:00 GMT+0300","30868731061","PUT","8307.048","8308.652",0.35,"0.00","-0.35"
15,"2019-02-26 13:35:00 GMT+0300","30869092021","CALL","8314.632","8314.024","0.70","0.00","-0.70"
16,"2019-02-26 13:45:00 GMT+0300","30869275861","PUT","8312.202","8313.041","1.40","0.00","-1.40"
17,"2019-02-26 14:00:03 GMT+0300","30869580861","PUT","8313.915","8318.021","2.80","0.00","-2.80"
18,"2019-02-26 14:15:00 GMT+0300","30869869061","PUT","8318.157","8317.698","5.60",10.87,"5.27"
19,"2019-02-26 16:53:50 GMT+0300","30873482621","PUT","8327.495","8327.344",0.35,0.66,"0.31"
20,"2019-02-26 17:05:01 GMT+0300","30873811261","PUT","8327.570","8329.800",0.35,"0.00","-0.35"
21,"2019-02-26 17:10:10 GMT+0300","30873936461","PUT","8330.249","8331.046","0.70","0.00","-0.70"
22,"2019-02-26 17:50:00 GMT+0300","30874989401","PUT","8339.894","8343.809","1.40","0.00","-1.40"
23,"2019-02-26 18:15:00 GMT+0300","30875614861","PUT","8346.643","8346.405","2.80",5.44,"2.64"
24,"2019-02-26 20:00:02 GMT+0300","30878096621","PUT","8311.508","8315.955",0.35,"0.00","-0.35"
25,"2019-02-26 20:20:02 GMT+0300","30878528341","CALL","8315.932","8314.211","0.70","0.00","-0.70"
26,"2019-02-26 20:30:03 GMT+0300","30878736121","CALL","8315.777","8313.793","1.40","0.00","-1.40"
