"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1,"2019-01-09 13:32:18 GMT+0300","76857370188","PUT","1.14533","1.14514","1.00",1.96,"0.96"
2,"2019-01-09 13:36:31 GMT+0300","76857690108","PUT","1.14487","1.14528","1.00","0.00","-1.00"
3,"2019-01-09 13:46:46 GMT+0300","76858467548","PUT","1.14472","1.14478","1.00","0.00","-1.00"
4,"2019-01-09 14:10:32 GMT+0300","76860249648","PUT","1.14506","1.14526","1.00","0.00","-1.00"
5,"2019-01-09 14:21:21 GMT+0300","76861080748","PUT","1.14492","1.14473","1.00",1.96,"0.96"
6,"2019-01-09 14:46:11 GMT+0300","76863077428","CALL","1.14505","1.14539","1.00",1.91,"0.91"
7,"2019-01-09 14:49:42 GMT+0300","76863365248","CALL","1.14543","1.14518","1.00","0.00","-1.00"
8,"2019-01-09 14:54:36 GMT+0300","76863769928","CALL","1.14533","1.14545","1.00",1.86,"0.86"
9,"2019-01-09 14:59:11 GMT+0300","76864139728","CALL","1.14554","1.14522","1.00","0.00","-1.00"
10,"2019-01-09 15:02:55 GMT+0300","76864459268","CALL","1.14518","1.14516","1.00","0.00","-1.00"
11,"2019-01-09 15:06:00 GMT+0300","76864709788","CALL","1.14527","1.14528","1.00",1.96,"0.96"
12,"2019-01-09 15:09:13 GMT+0300","76864964748","CALL","1.14534","1.14546","1.00",1.96,"0.96"
13,"2019-01-09 15:14:37 GMT+0300","76865412048","CALL","1.14543","1.14532","1.00","0.00","-1.00"
14,"2019-01-09 15:27:54 GMT+0300","76866527508","CALL","1.14502","1.14497","1.00","0.00","-1.00"
15,"2019-01-09 15:34:08 GMT+0300","76867063848","CALL","1.14511","1.14499","1.00","0.00","-1.00"
16,"2019-01-09 15:38:40 GMT+0300","76867444788","CALL","1.14508","1.14487","1.00","0.00","-1.00"
17,"2019-01-09 15:41:42 GMT+0300","76867695388","PUT","1.14488","1.14496","1.00","0.00","-1.00"
18,"2019-01-09 15:45:37 GMT+0300","76868016088","CALL","1.14517","1.14559","1.00",1.96,"0.96"
19,"2019-01-09 16:04:50 GMT+0300","76869641548","CALL","1.14517","1.14541","1.00",1.96,"0.96"
20,"2019-01-09 16:08:25 GMT+0300","76869957048","CALL","1.14547","1.14525","1.00","0.00","-1.00"
21,"2019-01-09 16:12:52 GMT+0300","76870345768","CALL","1.14560","1.14533","1.00","0.00","-1.00"
22,"2019-01-09 16:33:40 GMT+0300","76872167448","CALL","1.14544","1.14594","1.00",1.96,"0.96"
23,"2019-01-09 16:36:43 GMT+0300","76872443768","CALL","1.14613","1.14588","1.00","0.00","-1.00"
24,"2019-01-09 16:44:25 GMT+0300","76873119888","CALL","1.14607","1.14631","1.00",1.96,"0.96"
25,"2019-01-09 16:50:44 GMT+0300","76873700748","CALL","1.14644","1.14593","1.00","0.00","-1.00"
26,"2019-01-09 17:00:19 GMT+0300","76874554108","CALL","1.14641","1.14690","1.00",1.96,"0.96"
27,"2019-01-09 17:04:08 GMT+0300","76874897328","CALL","1.14691","1.14726","1.00",1.96,"0.96"
28,"2019-01-09 17:08:26 GMT+0300","76875280448","CALL","1.14737","1.14730","1.00","0.00","-1.00"
29,"2019-01-09 17:24:29 GMT+0300","76876647688","CALL","1.14716","1.14684","1.00","0.00","-1.00"
30,"2019-01-09 17:30:54 GMT+0300","76877228308","CALL","1.14716","1.14739","1.00",1.96,"0.96"
31,"2019-01-09 17:34:29 GMT+0300","76877548068","CALL","1.14765","1.15088","1.00",1.96,"0.96"
32,"2019-01-09 17:41:16 GMT+0300","76878154308","CALL","1.15166","1.15132","1.00","0.00","-1.00"
33,"2019-01-09 17:46:25 GMT+0300","76878598788","CALL","1.15207","1.15179","1.00","0.00","-1.00"
34,"2019-01-09 17:55:22 GMT+0300","76879379668","CALL","1.15224","1.15223","1.00","0.00","-1.00"
35,"2019-01-09 17:59:50 GMT+0300","76879764348","CALL","1.15250","1.15271","1.00",1.92,"0.92"
