"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1,"2019-01-08 15:22:01 GMT+0300","76758033708","CALL","0.89732","0.89730","1.00","0.00","-1.00"
2,"2019-01-08 15:31:03 GMT+0300","76758772568","CALL","0.89719","0.89726","1.00",1.88,"0.88"
3,"2019-01-08 15:44:01 GMT+0300","76759821488","PUT","0.89763","0.89782","1.00","0.00","-1.00"
4,"2019-01-08 15:53:01 GMT+0300","76760559988","PUT","0.89816","0.89796","1.00",1.79,"0.79"
5,"2019-01-08 16:08:43 GMT+0300","76761872768","CALL","0.89756","0.89743","1.00","0.00","-1.00"
6,"2019-01-08 16:11:48 GMT+0300","76762134828","CALL","0.89748","0.89742","1.00","0.00","-1.00"
7,"2019-01-08 16:15:22 GMT+0300","76762432108","CALL","0.89740","0.89762","1.00",1.85,"0.85"
8,"2019-01-08 16:21:01 GMT+0300","76762905808","CALL","0.89727","0.89762","1.00",1.79,"0.79"
9,"2019-01-08 16:31:01 GMT+0300","76763755188","PUT","0.89775","0.89786","1.00","0.00","-1.00"
10,"2019-01-08 16:53:01 GMT+0300","76765673788","CALL","0.89743","0.89736","1.00","0.00","-1.00"
11,"2019-01-08 17:00:24 GMT+0300","76766334488","CALL","0.89714","0.89709","1.00","0.00","-1.00"
12,"2019-01-08 17:05:00 GMT+0300","76766738268","CALL","0.89732","0.89741","1.00","2.00","1.00"
13,"2019-01-08 17:16:27 GMT+0300","76767748448","CALL","0.89706","0.89724","1.00",1.79,"0.79"
14,"2019-01-08 17:28:46 GMT+0300","76768843408","PUT","0.89792","0.89789","1.00",1.86,"0.86"
15,"2019-01-08 17:41:01 GMT+0300","76769980128","PUT","0.89797","0.89775","1.00",1.79,"0.79"
16,"2019-01-08 17:56:16 GMT+0300","76771398928","PUT","0.89814","0.89836","1.00","0.00","-1.00"
17,"2019-01-08 18:02:22 GMT+0300","76771987028","PUT","0.89845","0.89836","1.00",1.83,"0.83"
18,"2019-01-08 18:39:00 GMT+0300","76775293048","PUT","0.89884","0.89858","1.00","2.00","1.00"
19,"2019-01-08 19:20:00 GMT+0300","76779050768","PUT","0.89899","0.89912","1.00","0.00","-1.00"
20,"2019-01-08 19:37:00 GMT+0300","76780657788","CALL","0.89863","0.89864","1.00","1.80","0.80"
21,"2019-01-08 19:54:03 GMT+0300","76782241208","PUT","0.89889","0.89946","1.00","0.00","-1.00"
22,"2019-01-08 19:58:00 GMT+0300","76782604688","PUT","0.89919","0.89955","1.00","0.00","-1.00"
23,"2019-01-08 20:07:00 GMT+0300","76783413228","PUT","0.89987","0.89997","1.00","0.00","-1.00"
24,"2019-01-08 20:10:04 GMT+0300","76783690188","PUT","0.89995","0.90018","1.00","0.00","-1.00"
25,"2019-01-08 20:14:00 GMT+0300","76784032948","PUT","0.90007","0.90029","1.00","0.00","-1.00"
26,"2019-01-08 20:19:01 GMT+0300","76784478228","PUT","0.90026","0.90038","1.00","0.00","-1.00"
27,"2019-01-08 20:38:01 GMT+0300","76786119168","PUT","0.90029","0.90040","1.00","0.00","-1.00"
28,"2019-01-08 21:29:01 GMT+0300","76790355688","CALL","0.90015","0.89999","1.00","0.00","-1.00"
29,"2019-01-08 21:34:02 GMT+0300","76790772868","CALL","0.90003","0.89997","1.00","0.00","-1.00"
30,"2019-01-08 22:04:25 GMT+0300","76793220288","PUT","0.90020","0.90013","1.00",1.79,"0.79"
31,"2019-01-08 22:16:00 GMT+0300","76794186328","PUT","0.90026","0.90043","1.00","0.00","-1.00"
32,"2019-01-08 22:19:30 GMT+0300","76794464448","PUT","0.90043","0.90017","1.00",1.81,"0.81"
33,"2019-01-08 22:28:56 GMT+0300","76795215288","CALL","0.90000","0.90010","1.00",1.78,"0.78"
34,"2019-01-08 22:46:03 GMT+0300","76796564088","CALL","0.89995","0.89992","1.00","0.00","-1.00"
35,"2019-01-08 22:52:35 GMT+0300","76797080508","CALL","0.89980","0.89972","1.00","0.00","-1.00"
36,"2019-01-08 22:57:06 GMT+0300","76797432848","CALL","0.89970","0.89966","1.00","0.00","-1.00"
37,"2019-01-08 23:26:00 GMT+0300","76799641188","CALL","0.89954","0.89960","1.00",1.78,"0.78"
38,"2019-01-08 23:34:00 GMT+0300","76800245528","CALL","0.89948","0.89959","1.00",1.84,"0.84"
39,"2019-01-08 23:56:02 GMT+0300","76801849288","CALL","0.89929","0.89945","1.00",1.47,"0.47"
