"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1,"2019-01-09 20:50:00 GMT+0300","76894523068","PUT","1.15281","1.15284","1.00","0.00","-1.00"
2,"2019-01-09 20:53:02 GMT+0300","76894774488","PUT","1.15286","1.15326","1.00","0.00","-1.00"
3,"2019-01-09 21:13:46 GMT+0300","76896473828","PUT","1.15309","1.15316","1.00","0.00","-1.00"
4,"2019-01-09 21:33:01 GMT+0300","76898021428","CALL","1.15324","1.15346","1.00",1.94,"0.94"
5,"2019-01-09 22:16:01 GMT+0300","76901407088","PUT","1.15346","1.15303","1.00",1.94,"0.94"
6,"2019-01-09 22:26:01 GMT+0300","76902170688","CALL","1.15447","1.15502","1.00",1.94,"0.94"
7,"2019-01-09 22:40:18 GMT+0300","76903264168","PUT","1.15416","1.15397","1.00",1.94,"0.94"
8,"2019-01-09 23:20:01 GMT+0300","76906110228","PUT","1.15448","1.15447","1.00",1.94,"0.94"
9,"2019-01-09 23:28:01 GMT+0300","76906704028","CALL","1.15469","1.15477","1.00",1.94,"0.94"
10,"2019-01-09 23:51:01 GMT+0300","76908397188","PUT","1.15497","1.15469","1.00","1.90","0.90"
