"timestamp","message"
"2019-02-01 21:02:53 GMT+0300","Blocks are loaded successfully"
"2019-02-01 21:03:04 GMT+0300","Initial stake: 0.35"
"2019-02-01 21:03:04 GMT+0300","Martingale rate: 2"
"2019-02-01 21:03:04 GMT+0300","Maximum Martingale steps: 6"
"2019-02-01 21:03:05 GMT+0300","Duration, minutes: 5"
"2019-02-01 21:03:05 GMT+0300","Risk: 44.449999999999996"
"2019-02-01 21:03:05 GMT+0300","Risk rate: 0.7169354838709677"
"2019-02-01 21:07:33 GMT+0300","Initial stake: 0.35"
"2019-02-01 21:07:33 GMT+0300","Martingale rate: 2"
"2019-02-01 21:07:33 GMT+0300","Maximum Martingale steps: 6"
"2019-02-01 21:07:33 GMT+0300","Duration, minutes: 5"
"2019-02-01 21:07:33 GMT+0300","Risk: 44.449999999999996"
"2019-02-01 21:07:33 GMT+0300","Risk rate: 0.7169354838709677"
"2019-02-01 21:09:59 GMT+0300","Absorption Buy purchased"
"2019-02-01 21:09:59 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30266941961)"
"2019-02-01 21:09:59 GMT+0300","Extremum Absorption Buy purchased"
"2019-02-01 21:09:59 GMT+0300","Light Absorption Buy purchased"
"2019-02-01 21:09:59 GMT+0300","Light Extremum Absorption Buy purchased"
"2019-02-01 21:09:59 GMT+0300","Classic Absorption Buy purchased"
"2019-02-01 21:09:59 GMT+0300","Classic Extremum Absorption Buy purchased"
"2019-02-01 21:09:59 GMT+0300","Classic Light Absorption Buy purchased"
"2019-02-01 21:09:59 GMT+0300","Classic Light Extremum Absorption Buy purchased"
"2019-02-01 21:15:00 GMT+0300","Loss amount: -0.35"
"2019-02-01 21:15:01 GMT+0300","Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Extremum Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Light Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Light Extremum Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Classic Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Classic Extremum Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Classic Light Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Classic Light Extremum Absorption Buy banned"
"2019-02-01 21:15:01 GMT+0300","Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","TurnBack Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Light Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Light Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Light Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Light Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Light TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Light TurnBack Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic TurnBack Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Light Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Light Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Light Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Light Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Light TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Classic Light TurnBack Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Stick To Upper BB Buy: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","Stick To Lower BB Sell: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","RSI Buy: 0/0 win rate: 0 %"
"2019-02-01 21:15:01 GMT+0300","RSI Sell: 0/0 win rate: 0 %"
"2019-02-01 21:26:34 GMT+0300","Purchase must be added inside: Before Purchase"
"2019-02-01 22:39:43 GMT+0300","TurnBack Sell purchased"
"2019-02-01 22:39:44 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly lower than entry spot at 5 minutes after contract start time. (ID: 30268283841)"
"2019-02-01 22:39:44 GMT+0300","Light TurnBack Sell purchased"
"2019-02-01 22:39:44 GMT+0300","Classic TurnBack Sell purchased"
"2019-02-01 22:39:44 GMT+0300","Classic Light TurnBack Sell purchased"
"2019-02-01 22:44:45 GMT+0300","Loss amount: -0.7"
"2019-02-01 22:44:46 GMT+0300","TurnBack Sell banned"
"2019-02-01 22:44:47 GMT+0300","Light TurnBack Sell banned"
"2019-02-01 22:44:47 GMT+0300","Classic TurnBack Sell banned"
"2019-02-01 22:44:47 GMT+0300","Classic Light TurnBack Sell banned"
"2019-02-01 22:44:47 GMT+0300","Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","TurnBack Sell: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Light Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Light Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Light Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Light Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Light TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Light TurnBack Sell: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic TurnBack Sell: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Light Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Light Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Light Extremum Absorption Buy: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Light Extremum Absorption Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Light TurnBack Buy: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Classic Light TurnBack Sell: 0/1 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Stick To Upper BB Buy: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","Stick To Lower BB Sell: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","RSI Buy: 0/0 win rate: 0 %"
"2019-02-01 22:44:47 GMT+0300","RSI Sell: 0/0 win rate: 0 %"
"2019-02-01 23:54:58 GMT+0300","Classic TurnBack Buy purchased"
"2019-02-01 23:55:00 GMT+0300","Bought: Win payout if Volatility 10 Index is strictly higher than entry spot at 5 minutes after contract start time. (ID: 30269169041)"
"2019-02-01 23:55:00 GMT+0300","Classic Light TurnBack Buy purchased"
"2019-02-01 00:00:01 GMT+0300","Profit amount: 1.32"
"2019-02-01 00:00:02 GMT+0300","Absorption Buy unbanned"
