"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
1,"2019-03-04 14:10:22 GMT+0300","83707313128","CALL","8226.607","8224.827",0.35,"0.00","-0.35"
2,"2019-03-04 14:25:02 GMT+0300","83708683908","CALL","8222.130","8222.126","0.70","0.00","-0.70"
3,"2019-03-04 14:30:08 GMT+0300","83709163368","PUT","8222.144","8223.607","1.40","0.00","-1.40"
4,"2019-03-04 14:35:14 GMT+0300","83709649288","CALL","8223.508","8221.954","2.80","0.00","-2.80"
5,"2019-03-04 14:40:20 GMT+0300","83710128388","PUT","8222.435","8221.304","5.60",10.87,"5.27"
6,"2019-03-04 14:45:27 GMT+0300","83710599828","PUT","8221.503","8220.828",0.35,0.66,"0.31"
7,"2019-03-04 14:50:30 GMT+0300","83711078228","PUT","8220.846","8216.890",0.35,0.66,"0.31"
8,"2019-03-04 14:55:33 GMT+0300","83711584388","PUT","8216.987","8222.846",0.35,"0.00","-0.35"
9,"2019-03-04 15:00:38 GMT+0300","83712097348","CALL","8222.485","8226.142","0.70",1.36,"0.66"
10,"2019-03-04 15:05:44 GMT+0300","83712620448","CALL","8226.114","8221.675",0.35,"0.00","-0.35"
11,"2019-03-04 15:10:50 GMT+0300","83713145488","PUT","8222.274","8226.033","0.70","0.00","-0.70"
12,"2019-03-04 15:15:56 GMT+0300","83713668308","CALL","8226.150","8225.443","1.40","0.00","-1.40"
13,"2019-03-04 15:21:02 GMT+0300","83714203588","CALL","8226.513","8229.446","2.80",5.44,"2.64"
14,"2019-03-04 15:26:10 GMT+0300","83714735608","CALL","8229.663","8233.166",0.35,0.66,"0.31"
15,"2019-03-04 15:31:16 GMT+0300","83715263348","CALL","8232.865","8232.839",0.35,"0.00","-0.35"
16,"2019-03-04 15:36:22 GMT+0300","83715773008","CALL","8232.945","8234.386","0.70",1.36,"0.66"
17,"2019-03-04 15:41:28 GMT+0300","83716287628","PUT","8234.085","8233.737",0.35,0.66,"0.31"
18,"2019-03-04 15:46:32 GMT+0300","83716821748","CALL","8233.893","8234.875",0.35,0.66,"0.31"
19,"2019-03-04 15:51:36 GMT+0300","83717379408","CALL","8234.531","8230.218",0.35,"0.00","-0.35"
20,"2019-03-04 15:56:58 GMT+0300","83717954328","PUT","8229.371","8228.553","0.70",1.36,"0.66"
21,"2019-03-04 16:02:04 GMT+0300","83718525588","PUT","8228.986","8230.720",0.35,"0.00","-0.35"
22,"2019-03-04 16:07:22 GMT+0300","83719102468","PUT","8231.270","8232.052","0.70","0.00","-0.70"
23,"2019-03-04 16:12:28 GMT+0300","83719655608","CALL","8232.800","8235.531","1.40",2.72,"1.32"
24,"2019-03-04 16:17:34 GMT+0300","83720211868","PUT","8235.183","8239.109",0.35,"0.00","-0.35"
25,"2019-03-04 16:22:41 GMT+0300","83720768728","CALL","8239.049","8240.400","0.70",1.36,"0.66"
26,"2019-03-04 16:29:34 GMT+0300","83721219708","CALL","8237.735","8239.252",0.35,0.66,"0.31"
27,"2019-03-04 16:34:38 GMT+0300","83721803928","PUT","8239.655","8240.991",0.35,"0.00","-0.35"
28,"2019-03-04 16:39:44 GMT+0300","83722375528","CALL","8241.021","8239.644","0.70","0.00","-0.70"
29,"2019-03-04 16:44:50 GMT+0300","83722964568","CALL","8239.552","8243.556","1.40",2.72,"1.32"
30,"2019-03-04 16:49:56 GMT+0300","83723562788","PUT","8243.904","8243.542",0.35,0.66,"0.31"
31,"2019-03-04 16:54:59 GMT+0300","83724153668","CALL","8243.172","8243.857",0.35,0.66,"0.31"
32,"2019-03-04 17:00:04 GMT+0300","83724759488","CALL","8243.804","8240.693",0.35,"0.00","-0.35"
33,"2019-03-04 17:05:10 GMT+0300","83725373708","PUT","8240.331","8237.341","0.70",1.36,"0.66"
34,"2019-03-04 17:10:16 GMT+0300","83725974588","PUT","8237.397","8235.315",0.35,0.66,"0.31"
35,"2019-03-04 17:15:24 GMT+0300","83726609068","PUT","8235.152","8234.130",0.35,0.66,"0.31"
36,"2019-03-04 17:20:29 GMT+0300","83727217088","PUT","8234.062","8233.612",0.35,0.66,"0.31"
37,"2019-03-04 17:25:36 GMT+0300","83727827268","PUT","8234.368","8235.086",0.35,"0.00","-0.35"
38,"2019-03-04 17:30:44 GMT+0300","83728439848","CALL","8235.525","8238.428","0.70",1.36,"0.66"
39,"2019-03-04 17:35:52 GMT+0300","83729073048","CALL","8238.491","8237.079",0.35,"0.00","-0.35"
40,"2019-03-04 17:40:58 GMT+0300","83729710688","CALL","8237.779","8236.890","0.70","0.00","-0.70"
41,"2019-03-04 17:46:07 GMT+0300","83730334368","PUT","8236.821","8237.158","1.40","0.00","-1.40"
42,"2019-03-04 17:51:14 GMT+0300","83730967668","CALL","8237.620","8237.516","2.80","0.00","-2.80"
43,"2019-03-04 17:56:20 GMT+0300","83731592908","PUT","8237.168","8236.879","5.60",10.87,"5.27"
44,"2019-03-04 18:01:26 GMT+0300","83732245848","PUT","8236.925","8235.981",0.35,0.66,"0.31"
45,"2019-03-04 18:06:30 GMT+0300","83732867748","CALL","8236.073","8228.528",0.35,"0.00","-0.35"
46,"2019-03-04 18:11:36 GMT+0300","83733491708","PUT","8228.250","8226.765","0.70",1.36,"0.66"
47,"2019-03-04 18:16:42 GMT+0300","83734127208","PUT","8227.365","8226.638",0.35,0.66,"0.31"
48,"2019-03-04 18:21:46 GMT+0300","83734754788","PUT","8226.550","8223.618",0.35,0.66,"0.31"
49,"2019-03-04 18:26:51 GMT+0300","83735376708","PUT","8223.984","8225.796",0.35,"0.00","-0.35"
50,"2019-03-04 18:31:56 GMT+0300","83735996168","CALL","8225.577","8224.603","0.70","0.00","-0.70"
51,"2019-03-04 18:37:02 GMT+0300","83736610768","CALL","8224.273","8222.587","1.40","0.00","-1.40"
52,"2019-03-04 18:42:10 GMT+0300","83737209588","CALL","8222.900","8218.826","2.80","0.00","-2.80"
53,"2019-03-04 18:47:16 GMT+0300","83737801408","PUT","8218.674","8221.167","5.60","0.00","-5.60"
54,"2019-03-04 18:52:22 GMT+0300","83738386928","PUT","8220.885","8220.707","11.20",21.74,"10.54"
55,"2019-03-04 18:57:28 GMT+0300","83738972148","CALL","8221.064","8221.932",0.35,0.66,"0.31"
56,"2019-03-04 19:02:34 GMT+0300","83739563048","PUT","8222.843","8223.717",0.35,"0.00","-0.35"
57,"2019-03-04 19:07:40 GMT+0300","83740156668","PUT","8223.662","8221.227","0.70",1.36,"0.66"
58,"2019-03-04 19:12:46 GMT+0300","83740752788","PUT","8221.678","8220.622",0.35,0.66,"0.31"
59,"2019-03-04 19:17:52 GMT+0300","83741355168","PUT","8221.078","8216.893",0.35,0.66,"0.31"
60,"2019-03-04 19:22:56 GMT+0300","83741949688","PUT","8216.682","8218.324",0.35,"0.00","-0.35"
61,"2019-03-04 19:28:02 GMT+0300","83742558228","PUT","8218.513","8220.634","0.70","0.00","-0.70"
62,"2019-03-04 19:33:08 GMT+0300","83743159248","CALL","8221.465","8215.380","1.40","0.00","-1.40"
63,"2019-03-04 19:38:16 GMT+0300","83743778508","PUT","8215.446","8215.866","2.80","0.00","-2.80"
64,"2019-03-04 19:43:22 GMT+0300","83744390328","PUT","8215.438","8213.540","5.60",10.87,"5.27"
65,"2019-03-04 19:48:28 GMT+0300","83744997028","CALL","8214.165","8215.916",0.35,0.66,"0.31"
66,"2019-03-04 19:53:34 GMT+0300","83745594568","PUT","8215.212","8214.759",0.35,0.66,"0.31"
67,"2019-03-04 19:58:37 GMT+0300","83746205148","PUT","8214.663","8216.562",0.35,"0.00","-0.35"
68,"2019-03-04 20:03:42 GMT+0300","83746819088","CALL","8215.892","8213.552","0.70","0.00","-0.70"
69,"2019-03-04 20:08:50 GMT+0300","83747438988","CALL","8212.836","8211.862","1.40","0.00","-1.40"
70,"2019-03-04 20:13:56 GMT+0300","83748051508","PUT","8211.654","8215.863","2.80","0.00","-2.80"
71,"2019-03-04 20:19:02 GMT+0300","83748663468","CALL","8215.693","8216.108","5.60",10.88,"5.28"
72,"2019-03-04 20:24:08 GMT+0300","83749267048","CALL","8216.158","8215.601",0.35,"0.00","-0.35"
73,"2019-03-04 20:29:14 GMT+0300","83749857468","CALL","8215.773","8214.705","0.70","0.00","-0.70"
74,"2019-03-04 20:34:27 GMT+0300","83750468248","PUT","8214.356","8214.119","1.40",2.72,"1.32"
75,"2019-03-04 20:39:34 GMT+0300","83751055828","PUT","8214.478","8212.591",0.35,0.66,"0.31"
76,"2019-03-04 20:44:38 GMT+0300","83751644448","PUT","8212.038","8209.821",0.35,0.66,"0.31"
77,"2019-03-04 20:49:42 GMT+0300","83752211968","PUT","8209.781","8210.544",0.35,"0.00","-0.35"
78,"2019-03-04 20:54:48 GMT+0300","83752788408","PUT","8210.130","8211.175","0.70","0.00","-0.70"
79,"2019-03-04 20:59:56 GMT+0300","83753362568","PUT","8211.748","8209.451","1.40",2.72,"1.32"
80,"2019-03-04 21:05:02 GMT+0300","83753936288","PUT","8209.921","8210.271",0.35,"0.00","-0.35"
81,"2019-03-04 21:10:08 GMT+0300","83754515728","PUT","8210.092","8208.854","0.70",1.36,"0.66"
82,"2019-03-04 21:15:14 GMT+0300","83755100888","PUT","8209.215","8208.495",0.35,0.66,"0.31"
83,"2019-03-04 21:20:18 GMT+0300","83755685828","PUT","8208.719","8212.274",0.35,"0.00","-0.35"
84,"2019-03-04 21:25:24 GMT+0300","83756290468","PUT","8211.938","8206.772","0.70",1.36,"0.66"
85,"2019-03-04 21:30:28 GMT+0300","83756860288","PUT","8206.890","8204.283",0.35,0.66,"0.31"
86,"2019-03-04 21:35:32 GMT+0300","83757442988","CALL","8204.442","8204.995",0.35,0.66,"0.31"
87,"2019-03-04 21:40:36 GMT+0300","83758023108","CALL","8205.398","8204.111",0.35,"0.00","-0.35"
88,"2019-03-04 21:45:42 GMT+0300","83758594508","PUT","8204.480","8208.050","0.70","0.00","-0.70"
89,"2019-03-04 21:50:50 GMT+0300","83759170628","CALL","8207.898","8206.874","1.40","0.00","-1.40"
